reach,PFOS,PFOA,PFHxS,PFBS,PFHxA
776,0.9316900191352069,0.8153320061967854,0.8062550303482141,0.7044984529927695,0.4384756934896225
777,0.9188534990927969,0.803683302147924,0.7944173698366418,0.6855325087901887,0.37512042837562354
778,0.9236665851834517,0.8075416158802126,0.7982008485355863,0.691443586759438,0.41341486527745197
779,0.8923884811046531,0.7915684089449245,0.783554865334815,0.6955601407758979,0.4693159397310778
780,0.9205713288578471,0.7705735113880703,0.7582942355266205,0.6185694395814955,0.31502181946478125
781,0.9338830169279788,0.8186006685867827,0.8100052801256657,0.7163075822158081,0.4618644261465216
782,0.9150446753798231,0.808460441218158,0.7999081811353093,0.6982265980137711,0.3809767924498553
783,0.9221216352929498,0.8342973883565414,0.8267238981968621,0.7419179831136529,0.4963770158847826
784,0.922157954305954,0.8141122417979686,0.8059402891321958,0.7172917899229336,0.48715157955163346
785,0.9302713962428737,0.8325325212390863,0.8253860293421462,0.7438467065108797,0.45850246566737335
786,0.8999482065307638,0.7978404795185429,0.7899811397020563,0.7026835337747303,0.4607188882444384
787,0.9304620495888932,0.8341433107864442,0.8266660696117927,0.7446745492325507,0.4608068068867932
788,0.0,0.0,0.0,0.0,0.0
789,0.8851086086523489,0.8012469566825717,0.7947445397657193,0.7207133733263209,0.501979401781383
790,0.9311665658252718,0.867486834672435,0.8614590339766642,0.792305542187225,0.5749141615271804
791,0.9323725617816252,0.82093737622175,0.8129487826294015,0.7216905969496656,0.4599040867840377
792,0.9131914637679129,0.8319941368824434,0.825332527372535,0.7502190477211348,0.513325652480838
793,0.9300791352683665,0.8109984355334203,0.8019164691010793,0.6991760799169984,0.43321690602447777
794,0.9188535345630214,0.8036834166173007,0.7944174894830585,0.6855327022609932,0.3751207062618935
795,0.9222976917783906,0.8089777188970253,0.7998113535054467,0.6948833093033748,0.4181134045815199
796,0.9190626544492823,0.7758291768302761,0.7640057383347817,0.629152037975713,0.3290051123318697
797,0.93299594372145,0.8186313718339078,0.8100595095177757,0.7165809365309328,0.46278736073876425
798,0.9150447267125406,0.8084605988463701,0.799908346751839,0.6982268743592619,0.3809771686782795
799,0.9217069756924144,0.8362375718606841,0.8288114386444662,0.7449664286267009,0.499390248196263
800,0.9218742300078969,0.8141673496999391,0.8059646435406479,0.7171215377860319,0.4867757668860829
801,0.9287103119380835,0.8305352181624642,0.8232661314101535,0.7410201187209318,0.46302969446315484
802,0.8998095758902654,0.7978719970202479,0.789993673452804,0.702411118011814,0.4608080753765451
803,0.9520143506771465,0.8361139673279749,0.826217958628889,0.7102662383049229,0.4468623297200188
804,0.9288425020218037,0.86538664356917,0.8594186457671554,0.7909193047931039,0.5754332049475369
