reach,PFOS,PFOA,PFHxS,PFBS,PFHxA,tot,PFOS_f,PFOA_f,PFHxS_f,PFBS_f,PFHxA_f
134,0.9222980036447086,0.8235187366152977,0.8158942522417801,0.7278584700701126,0.2966682717794611,3.58623773435136,0.25717703955048143,0.22963305771033804,0.2275070178495432,0.20295878968039463,0.0827240952092428
135,0.8915862790541643,0.8080082713252296,0.8006840540846452,0.7159632134452535,0.4714675269409261,3.6877093448502185,0.24177238379679766,0.2191084480271175,0.21712233237762563,0.19414849341233353,0.12784834238612572
136,0.8864392634453496,0.8211676070622532,0.8159454095338045,0.7553786127168112,0.5629230008044713,3.8418538935626896,0.23073216421130543,0.21374253936053642,0.21238324833252545,0.19661825609310754,0.14652379200252524
137,0.8850333774558243,0.7723642804368689,0.7637720098633873,0.6658949715814265,0.3760861851202901,3.4631508244577973,0.2555572720672332,0.2230235758091168,0.22054251997037008,0.19228009559349218,0.1085965365597877
138,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
139,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
140,0.9089889652734026,0.8173548706404095,0.8099516547365283,0.7272769724273631,0.4871281518545546,3.7507006149322577,0.2423517786662426,0.21792058459327923,0.21594676245604771,0.19390429871473455,0.129876575569696
141,0.8948493358978701,0.7811787338110927,0.7718647799323765,0.670755902865251,0.4223424872772742,3.540991239783864,0.2527115362060286,0.2206101853724932,0.2179798614750286,0.18942602718954843,0.11927238975690131
142,0.8613225408548969,0.7760360919135566,0.7701800350294837,0.7038371558093237,0.4946901926747757,3.6060660162820364,0.2388537916294019,0.21520296312092294,0.21357901700966717,0.19518143944990812,0.13718278879009996
143,0.8896544566268055,0.8214154939276987,0.8158090277331321,0.7466786247837216,0.5135346159077033,3.787092218979061,0.2349175581646232,0.21689873032696816,0.21541831583733154,0.19716409889406233,0.13560129677701485
144,0.8554489872342917,0.7539068537295989,0.7470628905736862,0.6730813300033494,0.4779561257678019,3.507456187308728,0.24389441850467644,0.21494405445676337,0.2129927932604934,0.1919001390348955,0.13626859474317132
145,0.8989228090203097,0.8468391126405412,0.842008196581866,0.7833263300372437,0.5737816817444834,3.9448781300244438,0.22787086936314044,0.21466800360580313,0.21344339896671247,0.19856794157349292,0.14544978649085114
146,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
147,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
148,0.934659379612343,0.8231354408288034,0.8140509893217077,0.7165875631103851,0.5094272390980752,3.7978606119713145,0.2461015490316269,0.21673661172139422,0.21434461990409043,0.18868190181904376,0.13413531752384464
149,0.8876270818646029,0.7745595970171636,0.765961117896862,0.6708885837397318,0.4200739653529491,3.5191103458713093,0.25223053403425805,0.22010096896390088,0.21765760167069015,0.1906415308990898,0.11936936443206116
150,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
151,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
152,0.9294196949414656,0.8637930279642883,0.857631379658921,0.7838376275775126,0.3244008516198711,3.7590825817620592,0.24724641577461776,0.2297882552927017,0.22814911910153055,0.2085183314089607,0.08629787842218915
153,0.9313691852862722,0.81634090928721,0.8046951541153087,0.6634879696958267,0.4267541322452937,3.642647350629911,0.2556846973191664,0.22410648923949306,0.2209094311520865,0.18214444216816428,0.11715494012108982
154,0.9148458381479594,0.7952229325729318,0.7846246823644157,0.6609014486177295,0.3827274253547494,3.5383223270577857,0.2585535611473473,0.2247457577541224,0.22175048224531121,0.18678384486449193,0.10816635398872719
155,0.9316204027720149,0.8445008940853418,0.837742595172994,0.764369079366233,0.5336446964797084,3.911877667876292,0.23815172197799825,0.21588121249809186,0.21415357695165188,0.19539697921617244,0.13641650935608557
156,0.915291098811696,0.7997905750235285,0.7905693868436253,0.6871567264500947,0.3492615441923218,3.542069331321266,0.25840575471465244,0.22579754945823993,0.22319421583674262,0.19399866636539576,0.09860381362496931
157,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
158,0.8995431574333806,0.8019332444641184,0.7944433944118744,0.7129917355864036,0.4967886796996104,3.705700211595387,0.24274579865328802,0.2164053211738,0.21438415118578863,0.19240405183220277,0.13406067715492065
159,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
160,0.9161194962273068,0.8298297514281311,0.8226749058555733,0.7431472307308542,0.5039272284739201,3.8156986127157855,0.24009220570365433,0.2174778030588501,0.21560269543145147,0.19476046358963517,0.13206683221640897
