reach,row,col,Channel,d
673,126,39,192,41.75806537215511
674,117,30,135,31.484789494974642
675,115,86,239,61.140378439242646
676,35,33,70,77.88957774180382
677,30,47,142,7.224286596543301
678,124,22,222,92.34125951471432
679,83,60,255,25.7889636601569
680,66,38,45,5.858018481737272
681,58,41,233,6.200603632506739
682,73,22,115,69.09196024890248
683,117,93,270,1.0124681645212623
684,115,26,191,23.46792022617534
685,42,44,153,61.03335707065369
686,122,16,177,5.836125115130171
687,83,65,163,100.90728696609493
688,89,92,195,39.76938411865106
689,39,35,72,75.79049642972795
690,104,48,76,62.47364799334126
691,78,82,101,76.0790454409667
692,129,50,65,15.777495491293951
693,135,84,113,21.246466173804436
694,72,47,141,43.4024486065648
695,58,45,156,109.35589631382831
696,94,25,298,106.69219941563763
697,68,88,230,112.57946570204034
698,126,39,192,41.75806537215511
699,35,33,70,77.88957774180382
700,30,47,142,7.224286596543301
701,124,23,222,51.50894756144573
702,84,60,255,28.494516586781966
703,67,38,45,31.19282444087728
704,59,41,233,158.33698450590012
705,74,23,115,84.36296959742963
706,117,92,270,54.13258786160139
707,115,25,191,0.7291651583027958
708,42,43,127,96.94272347571773
709,122,17,177,51.98479868687326
710,83,64,163,114.63227421224907
711,89,91,195,15.606255047928293
712,39,34,72,76.14669637932518
713,104,49,92,57.064666715155845
714,79,82,101,115.61680450274122
715,128,50,67,158.325553011241
716,135,83,107,1.5173502761516349
717,73,46,123,87.08722322765082
718,58,44,156,83.41144405608486
719,94,26,250,139.39228508328415
