reach,gwf_q_m3d
674,235.64320515660802
675,9.163820954936437
676,10.511534987096192
677,76.28589914449871
678,1043.8523306613615
679,-0.0
680,49.47400494136256
681,292.0056448752208
682,611.6320965697954
683,-843.3581205187285
684,867.2436208001802
685,894.1733224491971
686,3.5989141192134837
687,2012.1280037814813
688,448.1332399427203
689,245.83700512511822
690,274.8913368846585
691,-59.18018159331752
692,-0.0
693,-412.10256711970584
694,2049.3863089451734
695,403.9963912710331
696,615.2196216271869
697,512.704063616462
698,-1232.044628227456
699,2129.763826457781
700,244.23048363435328
701,1510.1528265240604
702,-0.0
703,-49.47400494136256
704,213.20895557644474
705,-35.286767654089815
706,-785.2369645883143
707,-1678.6968963242914
708,1546.631700525682
709,628.6799728255118
710,-1639.0600586974415
711,-980.3948918281886
