reach,row,col,Channel,d,gwf_q_m3d,gain_m3d,c_PFOS,load_PFOS,c_PFOA,load_PFOA,c_PFHxS,load_PFHxS,c_PFBS,load_PFBS,c_PFHxA,load_PFHxA
50,136,41,391,35.1739218188086,280.659054529721,280.659054529721,0.9999471719350438,0.10243514316705958,0.9993744083624843,0.10237646894885816,0.999298078679829,0.10236864969381136,0.9982155317686149,0.10225775298751767,0.991240983842409,0.10154327642775715
51,94,97,472,26.69686419150413,452.1111599276875,452.1111599276875,0.9999656682717457,0.1650149079321245,0.999600921429246,0.16495471719903898,0.9995521758478274,0.16494667317524386,0.9988386090503764,0.16482891997318813,0.9941789447263801,0.16405997949471374
52,135,69,382,47.97665594213569,131.52412293576535,131.52412293576535,0.9998918808984196,0.048001114473001434,0.999165838745102,0.047966259872039674,0.9990873631409927,0.04796249254826383,0.9979029177486015,0.04790563170165299,0.990144067675112,0.04753315797957237
53,35,33,70,77.88957774180382,-0.0,-0.0,0.9999862821463793,-0.0,0.9998098463367978,-0.0,0.9997840847944517,-0.0,0.9993801922653334,-0.0,0.9961605622701838,-0.0
54,31,42,89,120.24147585035456,54.7629452315842,54.7629452315842,0.9999675945130291,0.019987827273261743,0.9996330829885385,0.019981140898014064,0.9995890977240455,0.01998026169965396,0.9989589251507912,0.019967665510921773,0.9949588079099643,0.01988770926741832
55,101,57,112,85.95672272069935,187.6656996868413,187.6656996868413,0.999865037904631,0.06848873575473567,0.9988697367478795,0.06842055963562264,0.99874745804334,0.0684121837913175,0.9970381006927537,0.0682950962650449,0.9858496067812985,0.06752870702855256
56,67,81,121,22.63184281362198,-0.0,-0.0,0.9999772298098115,-0.0,0.9996932558214613,-0.0,0.9996531782209549,-0.0,0.9990545987803993,-0.0,0.9948823391284813,-0.0
57,121,53,279,1.266485468025848,559.6070281340582,559.6070281340582,0.9998647391312908,0.20422893734847342,0.998119539961957,0.2038724689604351,0.9978848792836027,0.20382453797627073,0.9944442061427321,0.2031217578983035,0.9727581295458554,0.1986922343784665
58,139,95,145,65.40099576701259,437.89334234671855,437.89334234671855,0.99986063219206,0.1598087946506917,0.9983724559111848,0.15957093784343548,0.9981766101369436,0.15953963560379203,0.9954271375758946,0.15910018446254337,0.9784778615934723,0.15639116354728394
59,35,32,399,70.595942816668,1036.1593900963885,1036.1593900963885,0.9999687234042571,0.37818634863367706,0.9996399778787715,0.3780620176751148,0.9995960009161677,0.37804538566801116,0.9989542034202482,0.377802659024804,0.9947611412493028,0.3762168505540898
60,107,48,194,84.102806255926,200.40004147790597,200.40004147790597,0.9998822645310175,0.07313740325903904,0.9987810977422334,0.0730568572964356,0.9986448581936227,0.07304689191635033,0.9965821248609062,0.07289601119276683,0.9862381988392465,0.0721393942233853
61,22,48,205,70.40632296048514,-0.0,-0.0,0.9999401950902228,-0.0,0.9994218465421622,-0.0,0.9993561187904239,-0.0,0.9984291686190797,-0.0,0.9926073606868904,-0.0
62,77,92,211,62.67817682886308,42.68698010302771,42.68698010302771,0.999965917421307,0.015580216705544249,0.9995839321245212,0.01557426508899556,0.9995320594845126,0.015573456874477098,0.9987729821192906,0.015561629881536249,0.9937893877892093,0.015483981755452693
63,70,56,217,3.2141726717497257,938.589805055252,938.589805055252,0.99985201582251,0.34253458164445694,0.9983558780493508,0.34202202686824834,0.9981542938239013,0.341952967080162,0.9951614057331352,0.34092764767903444,0.9753071091740937,0.3341258579560806
64,42,50,340,60.16864317434256,1655.9584886656555,1655.9584886656555,0.9999112820737849,0.6043712250438646,0.9988893031768888,0.6037535156040781,0.9987491402720764,0.6036687976615908,0.9966750557526531,0.6024151694404463,0.9806739148419974,0.5927436822718888
64,42,50,441,60.16864317434256,1655.9584886656555,1655.9584886656555,0.9999112820737849,0.6043712250438646,0.9988893031768888,0.6037535156040781,0.9987491402720764,0.6036687976615908,0.9966750557526531,0.6024151694404463,0.9806739148419974,0.5927436822718888
65,54,27,257,97.71285419973069,474.3112732564999,474.3112732564999,0.9999812946822619,0.17312037640640082,0.9997691261925256,0.173083645030524,0.9997404618282782,0.17307868255217135,0.9993191852351554,0.17300574962556511,0.9963767629921626,0.1724963468507709
66,146,88,272,18.621170429180665,164.67762031893844,164.67762031893844,0.9998288479258828,0.06009704392197096,0.9980784606007058,0.05999183281090946,0.9978517714105791,0.05997820712862999,0.9946466802249474,0.059785557650515415,0.9757019839670684,0.0586468425139598
