site_no,vpuid,nested_usable_gauges,basin_huc12s,drainage_km2
11420790,1802,87,38,3483.4
11420800,1802,87,38,3483.4
11421000,1802,87,38,3483.4
11421500,1802,87,38,3483.4
11252500,1804,87,46,4747.5
11252975,1804,87,46,4755.6
11253000,1804,87,46,4755.6
11253058,1804,87,46,4755.6
11253115,1804,87,46,4755.6
13161070,1705,87,172,14656.3
13170500,1705,87,172,14656.3
13170910,1705,87,172,14656.3
13171100,1705,87,172,14656.3
13171200,1705,87,172,14656.3
13171300,1705,87,172,14656.3
13171340,1705,87,172,14656.3
13171345,1705,87,172,14656.3
13171620,1705,87,172,14656.3
454314120413701,1707,87,483,40620.8
10347800,1605,86,30,2813.6
10348000,1605,86,30,2813.6
12200684,1711,86,89,8271.7
12200690,1711,86,89,8271.7
12200701,1711,86,89,8271.7
12509612,1703,86,142,14688.3
12509614,1703,86,142,14688.3
12510500,1703,86,142,14688.3
11523000,1801,86,238,21924.8
12388700,1701,86,274,23461.4
09225500,1404,86,320,36019.6
12450700,1702,86,641,88650.0
06713000,1019,85,109,10564.9
06713300,1019,85,109,10564.9
06713500,1019,85,109,10564.9
06714000,1019,85,109,10564.9
06714130,1019,85,109,10564.9
06714210,1019,85,109,10564.9
06714215,1019,85,109,10564.9
06174500,1005,85,312,32512.4
09402300,1502,85,721,66661.7
12450650,1702,85,639,88407.7
10347460,1605,84,29,2698.5
10347600,1605,84,29,2698.5
10347620,1605,84,29,2698.5
14103000,1707,84,321,26198.2
08405000,1306,84,486,49370.4
08405200,1306,84,486,49370.4
09402000,1502,84,707,65497.3
12199000,1711,83,88,8057.4
12200500,1711,83,88,8057.4
14166000,1709,83,99,8733.3
12509600,1703,83,140,14469.4
06349700,1013,83,249,24824.1
14102000,1707,83,316,25700.6
11252275,1804,82,45,4658.0
14158000,1709,82,98,8668.0
14158050,1709,82,98,8668.0
14158100,1709,82,98,8668.0
11397500,1802,82,111,9305.0
11406799,1802,82,111,9305.0
11406818,1802,82,111,9305.0
11406819,1802,82,111,9305.0
11406820,1802,82,111,9305.0
12509489,1703,82,139,14360.9
12509500,1703,82,139,14360.9
11522260,1801,82,209,19518.5
06610670,1023,82,252,24271.5
410333095530101,1023,82,252,24271.5
06172310,1005,82,289,30088.1
